,Cluster
Finland,C1
Denmark,C1
Switzerland,C1
Iceland,C4
Netherlands,C1
Norway,C1
Sweden,C1
Luxembourg,C1
New Zealand,C1
Austria,C1
Australia,C1
Israel,C4
Germany,C1
Canada,C1
Ireland,C1
Costa Rica,C4
United Kingdom,C1
Czech Republic,C4
United States,C4
Belgium,C4
France,C4
Bahrain,C4
Malta,C4
Taiwan Province of China,C4
United Arab Emirates,C4
Saudi Arabia,C4
Spain,C4
Italy,C4
Slovenia,C4
Guatemala,C4
Uruguay,C4
Singapore,C1
Kosovo,C4
Slovakia,C4
Brazil,C4
Mexico,C4
Jamaica,C4
Lithuania,C4
Cyprus,C4
Estonia,C4
Panama,C4
Uzbekistan,C2
Chile,C4
Poland,C4
Kazakhstan,C4
Romania,C4
Kuwait,C4
Serbia,C4
El Salvador,C4
Mauritius,C4
Latvia,C4
Colombia,C4
Hungary,C4
Thailand,C4
Nicaragua,C4
Japan,C4
Argentina,C4
Portugal,C4
Honduras,C4
Croatia,C4
Philippines,C4
South Korea,C4
Peru,C4
Bosnia and Herzegovina,C4
Moldova,C4
Ecuador,C4
Kyrgyzstan,C4
Greece,C4
Bolivia,C4
Mongolia,C4
Paraguay,C4
Montenegro,C4
Dominican Republic,C4
North Cyprus,C4
Belarus,C4
Russia,C4
Hong Kong S.A.R. of China,C1
Tajikistan,C4
Vietnam,C4
Libya,C4
Malaysia,C4
Indonesia,C2
Congo (Brazzaville),C3
China,C4
Ivory Coast,C3
Armenia,C4
Nepal,C2
Bulgaria,C4
Maldives,C4
Azerbaijan,C4
Cameroon,C3
Senegal,C3
Albania,C4
North Macedonia,C4
Ghana,C2
Niger,C3
Turkmenistan,C4
Gambia,C2
Benin,C3
Laos,C2
Bangladesh,C4
Guinea,C3
South Africa,C4
Turkey,C4
Pakistan,C3
Morocco,C4
Venezuela,C4
Georgia,C4
Algeria,C4
Ukraine,C4
Iraq,C4
Gabon,C4
Burkina Faso,C3
Cambodia,C4
Mozambique,C2
Nigeria,C3
Mali,C3
Iran,C4
Uganda,C3
Liberia,C3
Kenya,C2
Tunisia,C4
Lebanon,C4
Namibia,C4
Palestinian Territories,C4
Myanmar,C2
Jordan,C4
Chad,C3
Sri Lanka,C4
Swaziland,C3
Comoros,C3
Egypt,C4
Ethiopia,C3
Mauritania,C3
Madagascar,C3
Togo,C3
Zambia,C3
Sierra Leone,C3
India,C2
Burundi,C3
Yemen,C3
Tanzania,C2
Haiti,C2
Malawi,C3
Lesotho,C3
Botswana,C4
Rwanda,C3
Zimbabwe,C3
Afghanistan,C3
